index	sentence1	sentence2	label
1	<user> <user> No way Jose!!	Is this tweet offensive?	0
2	Good god, what is the matter with people ?	Is this tweet offensive?	0
3	<user> <user> <user> <user> Um the Kurds are helping the ppl Of the Ukraine stop Putin/Russian military from overthrowing the Ukrainian government. Trump Endangered the lives of many by cutting US aid in an effort to extort the Ukrainian president for help winning the election Which led to his impeachment .	Is this tweet offensive?	0
4	What is WRONG with these people?	Is this tweet offensive?	0
5	<user> This earpiece too plus a wire on his sleeves! #CheatingJoeBiden                    ANYONE want to take a stab at telling me what this is.....saw it last night but apparently James Woods saw it also....<url>	Is this tweet offensive?	0
6	<user> <user> Please lost you yelling insanely at the sky on Nov 3 losers	Is this tweet offensive?	1
7	Dang it!!	Is this tweet offensive?	0
8	<user> <user> <user> Just take the L g, or find better evidence	Is this tweet offensive?	0
9	Elections have consequences 101:  - Republican voters elected GOP US Senators to prevent leftwing fascists from subverting the SCOTUS;  - Republican voters elected GOP US Senators to put conservatives on the SCOTUS.  Vote <user>  #MAGA <user> <user> #KAG2020 <url>	Is this tweet offensive?	0
10	<user> <user> I'm in the never catagory.	Is this tweet offensive?	0
11	He’s an idiot... pure and simple. How sad for us!	Is this tweet offensive?	1
12	<user> <user> U.S. flu deaths 2015-16: 23,000 U.S. flu deaths 2016-17: 38,000 U.S. flu deaths 2017-18: 61,000 U.S. flu deaths 2018-19: 34,200 U.S. flu deaths 2019-20: 24,000  U.S. COVID deaths in 6 months: 167,000  The mask captures droplets, reducing transmission, lowering the disease's R0.	Is this tweet offensive?	0
13	and y’all niggas wanna vaca to FL now of all times 🤣 y’all really just dumb	Is this tweet offensive?	1
14	<user> You are a liar!!! #BidenCrimeFamilyExposed  Biden is a threat to national security!! #Trump2020 and #VoteRed2020ToSaveAmerica	Is this tweet offensive?	1
15	<user> <user> Is it real but if its Waziristan,obviously soldiers must b dealing wid terrorists who kill our citizens &amp; soldiers ( as four PakArmy men hv been martyred even yesterday) There is no comparison of TTP /their abettors wid innocent unarmed Kashmiris or George Floyd  <user>	Is this tweet offensive?	0
16	"The stupidity of Democrats &amp; so-called ""Liberals"" never ceases to amaze me......"	Is this tweet offensive?	0
17	<user> If it’s for the people then nothing needs to be in it except for stimulus for the people, covid supplies and help for small businesses! Leave the other crap out of it! Not everyone gets unemployment so from April to Aug with no help is too long. 🇺🇸🇺🇸	Is this tweet offensive?	0
18	Words fail me...this is awful..just awful #HeartBreaking #BlackLivesMatter #PoliceBrutality #PoliceViolence	Is this tweet offensive?	0
19	He even admitted it!!  #voterfruad	Is this tweet offensive?	0
20	Twitter Slapped a 'Glorifying Violence' Label on a Trump Tweet That Threatened George Floyd Protesters in Minneapolis With Getting Shot <url>	Is this tweet offensive?	0
21	🔴WHY IS THE RIGHT ALWAYS SO DAMN WRONG⁉️ Bikers for Founder Says the Left 'Planned' the Coronavirus Pandemic to Hurt Trump <url>	Is this tweet offensive?	0
22	"""Trump tweeted """"Stock Market starting to look very good to me!"""" a month after administration officials &amp; senators held a classified coronavirus briefing. It'd be nice to see his tax returns and learn whether he profited from inside info while telling Americans a rosier tale. <url>"	Is this tweet offensive?	0
23	<user> <user> shut up and let george floyd be buried in Peace	Is this tweet offensive?	0
24	<user> Welcome to the white house Biden	Is this tweet offensive?	0
25	And now they ain’t talking the coronavirus, just like that 👀🤭	Is this tweet offensive?	0
26	not people promoting their fancams under this... y’all are so rude	Is this tweet offensive?	0
27	...waiting for anonymous to come out and surprise us with new unknown info.... 🌝👀 #6thjune <url> 	Is this tweet offensive?	0
28	<user> You are a dull dimwit!! And no, your covid is over for Hurricane Laura evacuees in Louisiana. No one cares about you and your evacuee partner Biden!!! Biden is a permanent evacuee!	Is this tweet offensive?	1
29	<user> Got caught lyin before and he hasn't stopped...<user> ,you are a #lyindementiafacedscandalousponysoldier	Is this tweet offensive?	1
30	How to lose an election <url>	Is this tweet offensive?	0
31	<user> <user> <user> You’re a buffoon	Is this tweet offensive?	0
32	<user> <user> <user> Hurts Whites to see our fellow Americans hurting, we want the best for ALL citizens! This is the media and politicians preying on emotions!  I think George Floyd death is more about Dirty cop than race since they worked together at Night Club, I would bet Floyd had dirt on cop	Is this tweet offensive?	0
